"id","tier","wins","losses","freshblood","rank"
7977,"PLATINUM",56,51,0,2
7978,"PLATINUM",74,65,0,2
7979,"PLATINUM",55,46,0,2
7980,"PLATINUM",40,35,1,2
7981,"PLATINUM",98,98,0,2
7982,"PLATINUM",51,49,0,2
7983,"PLATINUM",123,125,0,2
7984,"PLATINUM",87,88,0,2
7985,"PLATINUM",44,57,0,2
7986,"PLATINUM",108,101,0,2
7987,"PLATINUM",39,35,0,2
7988,"PLATINUM",28,12,0,2
7989,"PLATINUM",21,8,1,2
7990,"PLATINUM",31,27,0,2
7991,"PLATINUM",41,33,0,2
7992,"PLATINUM",51,46,0,2
7993,"PLATINUM",52,49,0,2
7994,"PLATINUM",119,157,0,2
7995,"PLATINUM",84,84,0,2
7996,"PLATINUM",81,75,0,2
7997,"PLATINUM",55,50,0,2
7998,"PLATINUM",74,66,0,2
7999,"PLATINUM",126,129,0,2
8000,"PLATINUM",41,44,0,2
8001,"PLATINUM",44,58,0,2
8002,"PLATINUM",55,44,0,2
8003,"PLATINUM",26,19,0,2
8004,"PLATINUM",81,56,0,2
8005,"PLATINUM",58,44,0,2
8006,"PLATINUM",24,11,0,2
8007,"PLATINUM",26,21,0,2
8008,"PLATINUM",45,43,0,2
8009,"PLATINUM",75,75,0,2
8010,"PLATINUM",43,44,1,2
8011,"PLATINUM",56,51,0,2
8012,"PLATINUM",49,39,0,2
8013,"PLATINUM",46,45,0,2
8014,"PLATINUM",30,16,1,2
8015,"PLATINUM",67,73,0,2
8016,"PLATINUM",31,37,0,2
8017,"PLATINUM",80,72,0,2
8018,"PLATINUM",143,125,0,2
8019,"PLATINUM",41,26,0,2
8020,"PLATINUM",29,29,0,2
8021,"PLATINUM",51,47,0,2
8022,"PLATINUM",32,22,0,2
8023,"PLATINUM",41,39,0,2
8024,"PLATINUM",61,66,0,2
8025,"PLATINUM",26,18,0,2
8026,"PLATINUM",63,58,0,2
8027,"PLATINUM",51,44,0,2
8028,"PLATINUM",46,42,0,2
8029,"PLATINUM",34,29,0,2
8030,"PLATINUM",65,51,0,2
8031,"PLATINUM",69,62,0,2
8032,"PLATINUM",74,72,0,2
8033,"PLATINUM",113,117,0,2
8034,"PLATINUM",89,86,0,2
8035,"PLATINUM",407,425,0,2
8036,"PLATINUM",75,70,0,2
8037,"PLATINUM",51,58,0,2
8038,"PLATINUM",58,56,0,2
8039,"PLATINUM",43,28,1,2
8040,"PLATINUM",33,18,0,2
8041,"PLATINUM",68,55,0,2
8042,"PLATINUM",121,128,0,2
8043,"PLATINUM",51,40,0,2
8044,"PLATINUM",38,33,0,2
8045,"PLATINUM",64,52,0,2
8046,"PLATINUM",32,29,0,2
8047,"PLATINUM",64,63,0,2
8048,"PLATINUM",58,54,0,2
8049,"PLATINUM",30,17,0,2
8050,"PLATINUM",137,128,0,2
8051,"PLATINUM",37,34,0,2
8052,"PLATINUM",97,114,0,2
8053,"PLATINUM",35,24,0,2
8054,"PLATINUM",42,29,0,3
8055,"PLATINUM",78,76,0,3
8056,"PLATINUM",39,32,0,3
8057,"PLATINUM",100,107,0,3
8058,"PLATINUM",116,106,0,3
8059,"PLATINUM",34,28,0,3
8060,"PLATINUM",55,63,0,3
8061,"PLATINUM",98,111,0,3
8062,"PLATINUM",53,51,0,3
8063,"PLATINUM",173,183,0,3
8064,"PLATINUM",44,44,0,3
8065,"PLATINUM",97,106,0,3
8066,"PLATINUM",40,28,0,3
8067,"PLATINUM",30,27,1,3
8068,"PLATINUM",33,20,0,3
8069,"PLATINUM",41,36,1,3
8070,"PLATINUM",45,29,0,3
8071,"PLATINUM",18,8,0,3
8072,"PLATINUM",91,97,0,3
8073,"PLATINUM",34,25,0,3
8074,"PLATINUM",119,98,0,3
8075,"PLATINUM",163,170,0,3
8076,"PLATINUM",36,30,0,3
8077,"PLATINUM",31,15,0,3
8078,"PLATINUM",31,23,0,3
8079,"PLATINUM",123,125,0,3
8080,"PLATINUM",45,44,0,3
8081,"PLATINUM",67,70,0,3
8082,"PLATINUM",64,75,0,3
8083,"PLATINUM",95,95,0,3
8084,"PLATINUM",70,68,0,3
